sample_id,job,status,reason,Fcm_MPa,c_nom_bottom_mm,c_nom_top_mm,E_MPa,seed,present_ld,present_damage,n_points,n_points_finite,t_final,t_frac_of_target,reached_full_step,U2_max_abs,U2_final,peak_RF2,U2_at_peak,n_points_after_peak,RF2_final,postpeak_drop_frac_max,postpeak_drop_frac_final,softening_captured,k0_N_per_mm,n_pts_for_k0,damage_final,damage_max,damage_U2_at_half_max,damage_at_U2_10mm,damage_monotone,damage_n_points,damage_t_final,n_nan,n_dup_time,n_dup_rows_exact,time_monotone,U2_monotone,damage_n_nan
273,sample_273,valid,reached t=1.000 (>=95% of target); softening captured,28.172131492605864,25.637660602133128,223.20075440037715,30017.09037939341,42,True,True,9566.0,9566.0,1.0,1.0,True,20.0,20.0,39404.37890625,10.287407875061035,5860.0,22605.287109375,0.5104253066734632,0.4263255065342615,True,13334.827904692916,94.0,0.9470000267028807,0.9470000267028807,9.200921058654783,0.5991307550939318,True,199.0,1.0,0.0,0.0,0.0,True,True,0.0
274,sample_274,valid,reached t=1.000 (>=95% of target); softening captured,28.75524724768806,26.667247978679,231.6346224397425,30202.14669667685,42,True,True,6831.0,6831.0,1.0,1.0,True,20.0,20.0,42352.359375,10.603992462158203,3221.0,20133.494140625,0.7346845253972347,0.5246193024960608,True,13895.788760735317,156.0,0.9470000267028807,0.9470000267028807,9.302424430847168,0.7427842287126123,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
275,sample_275,valid,reached t=1.000 (>=95% of target); softening captured,26.128869453548518,24.05960683227981,222.67920483636783,29346.672570673483,42,True,True,8242.0,8242.0,1.0,1.0,True,20.0,20.0,38275.1796875,12.025250434875488,2975.0,18602.84765625,0.7012101970047087,0.5139709909101913,True,12138.45022364549,190.0,0.9470000267028807,0.9470000267028807,8.300759315490723,0.9466381097489834,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
276,sample_276,valid,reached t=1.000 (>=95% of target); softening captured,24.93289483380736,28.832688501057284,235.4114838538708,28937.06583649912,42,True,True,9363.0,9363.0,1.0,1.0,True,20.0,20.0,35032.0703125,9.169918060302734,5202.0,19471.185546875,0.7058546800309092,0.4441896989477276,True,13985.051811578905,76.0,0.9470000267028807,0.9470000267028807,7.600524425506592,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
277,sample_277,missing,no rows in load_displacement_full.csv,36.334503047919874,24.67337252667307,220.0977551968431,32398.018436697377,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,sample_278,missing,no rows in load_displacement_full.csv,24.595406893772257,27.3473105229827,218.0401062219632,28818.998495017044,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,sample_279,missing,no rows in load_displacement_full.csv,32.469252578962454,32.30336381781575,230.2407891498216,31323.073408462293,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,sample_280,valid,reached t=1.000 (>=95% of target); softening captured,30.92846803166601,27.399808898686103,221.02199127552564,30869.54323648692,42,True,True,8177.0,8177.0,1.0,1.0,True,20.0,20.0,40242.37890625,14.328304290771484,1963.0,30704.4375,0.2576522883942796,0.23701236521006647,True,11762.995828853298,253.0,0.9470000267028807,0.9470000267028807,6.501675128936768,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
281,sample_281,missing,no rows in load_displacement_full.csv,29.5638431223841,24.90289251403763,211.41940002779117,30454.46310538403,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,sample_282,missing,no rows in load_displacement_full.csv,28.64088220922883,21.392229529567416,219.17484536906423,30166.060531696578,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,sample_283,missing,no rows in load_displacement_full.csv,26.865176849863303,26.95904465002488,222.4285145550989,29592.359339333016,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,sample_284,valid,reached t=1.000 (>=95% of target); softening captured,26.74056096150236,27.076850671873935,227.8598976018298,29551.112476607213,42,True,True,11866.0,11866.0,1.0,1.0,True,20.0,20.0,39359.16015625,17.932247161865234,2545.0,38172.01953125,0.10010455594983894,0.03016173669070246,True,10035.56146299383,334.0,0.9470000267028807,0.9470000267028807,8.402183532714844,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
285,sample_285,missing,no rows in load_displacement_full.csv,28.885499899012597,21.854792155158314,221.73719953361268,30243.12379704406,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,sample_286,valid,reached t=1.000 (>=95% of target); softening captured,30.51378640475913,22.4268730899472,226.1117740966136,30744.78861291807,42,True,True,6221.0,6221.0,1.0,1.0,True,20.0,20.0,41250.91796875,9.117321014404297,3533.0,21426.955078125,0.7273738699943704,0.4805702240527791,True,15461.987582186528,51.0,0.9470000267028807,0.9470000267028807,9.20324993133545,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
287,sample_287,missing,no rows in load_displacement_full.csv,26.994183277267418,23.52026814692045,222.6057399255424,29634.91858702453,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,sample_288,valid,reached t=1.000 (>=95% of target); softening captured,25.06733883985096,26.45360781213948,220.9081193589479,28983.788390665155,42,True,True,7762.0,7762.0,1.0,1.0,True,20.0,20.0,35557.98828125,11.558306694030762,2661.0,22249.447265625,0.3746586918705086,0.3742771078712205,True,12295.838828541615,228.0,0.9470000267028807,0.9470000267028807,8.700288772583008,0.9463240444909781,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
289,sample_289,valid,reached t=1.000 (>=95% of target); softening captured,30.44466056465391,25.71949984260252,222.77418893503696,30723.87727886071,42,True,True,10475.0,10475.0,1.0,1.0,True,20.0,20.0,41479.40234375,13.894376754760742,3865.0,37252.1953125,0.2738121998992911,0.10191099177895806,True,12194.661956498148,318.0,0.9470000267028807,0.9470000267028807,9.600031852722168,0.5577380468086665,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
